OBJECTID,Base BBL,BIN,Construction Year,DOITT ID,Feature Code,Geometry Source,Ground Elevation,Height Roof,LAST_EDITED_DATE,LAST_STATUS_TYPE,Map Pluto BBL,Name,Area,Length,Lease_Category
1491,3072660250,3256873,2003.0,984488,2100,Photogrammetric,6.0,36.98,8/22/2017 3:20:21 PM,Constructed,3072660250,,435.3515625,88.5674273211018,LEASED
3744,3022680001,3335470,1929.0,205119,2100,Photogrammetric,13.0,52.96,8/22/2017 3:41:43 PM,Constructed,3022680001,,1496.2265625,201.136494957704,LEASED
3925,1013730001,1089270,1975.0,996736,2100,Photogrammetric,16.0,28.47,3/25/2008 12:00:00 AM,Constructed,1013730001,Roosevelt Isld Subway Station,641.203125,126.741640723968,MIXED
4022,1005770019,1009713,1930.0,703933,2100,Photogrammetric,30.0,83.52,8/22/2017 7:18:08 PM,Constructed,1005770019,,4111.140625,267.078448228091,LEASED
9804,1000630003,1001069,1973.0,658930,2100,Photogrammetric,28.0,447.62,8/22/2017 6:35:31 PM,Constructed,1000630003,,4072.3515625,270.141895719729,LEASED
10622,3067390077,3180747,1997.0,952009,2100,Photogrammetric,27.0,63.99,8/22/2017 3:58:37 PM,Constructed,3067390077,,750.02734375,110.726912881471,LEASED
14804,3044840013,3393721,1977.0,996234,2100,Photogrammetric,15.0,13.00463997,8/22/2017 3:25:13 PM,Constructed,3044840013,,987.125,136.196627531085,LEASED
14885,3044520200,3343606,1975.0,442419,2100,Photogrammetric,16.0,150.11,8/22/2017 3:35:55 PM,Constructed,3044520200,,1148.71484375,195.250587610222,LEASED
15799,4017490007,4043525,1973.0,615488,2100,Photogrammetric,59.0,21.47,8/22/2017 7:36:01 PM,Constructed,4017490007,,1733.88671875,204.650017689811,LEASED
16110,2028760008,2008794,1924.0,105249,2100,Photogrammetric,99.0,47.0665975,8/22/2017 6:35:15 PM,Constructed,2028760008,,1218.00390625,150.321083135325,LEASED
18987,4003320002,4430689,1960.0,149441,2100,Photogrammetric,15.0,55.66,8/22/2017 6:01:18 PM,Constructed,4003320002,,1085.578125,168.967094822173,MIXED
19568,4132960014,4285305,1952.0,305832,2100,Photogrammetric,10.0,32.26,8/22/2017 5:46:48 PM,Constructed,4132960014,,22290.8984375,694.456126808081,LEASED
23365,3005300013,3331864,1911.0,52604,5110,Photogrammetric,7.0,23.79,8/17/2017 5:15:45 PM,Constructed,3005300013,,34.90234375,25.4370237254939,LEASED
25990,1013730001,1089340,1975.0,1257220,2100,Photogrammetric,19.0,110.06735857,12/7/2018 6:34:04 PM,Constructed,1013730001,,596.19140625,101.850091931612,MIXED
26915,2030380065,2094617,1914.0,41989,2100,Photogrammetric,62.0,60.04,8/22/2017 6:00:34 PM,Constructed,2030380065,,1016.7734375,134.779593894221,LEASED
27370,3042980007,3096389,1971.0,334520,2100,Photogrammetric,19.0,46.73,8/22/2017 3:35:28 PM,Constructed,3042980007,,1270.8359375,154.31793285918,LEASED
28602,2027090001,2100984,1995.0,871835,2100,Photogrammetric,34.0,40.46,8/22/2017 5:45:53 PM,Constructed,2027090001,,2328.84375,241.874603725158,MIXED
29603,5004970001,5013236,1925.0,87176,2100,Photogrammetric,28.0,19.88,8/22/2017 7:13:28 PM,Constructed,5004970001,,2191.8515625,201.265344117815,LEASED
30269,2051410100,2097465,1969.0,231873,5110,Photogrammetric,12.0,50.44141625,8/22/2017 7:34:28 PM,Constructed,2051410100,Garage G-4,9646.34765625,395.058914672678,LEASED
30897,2023400072,2000978,1927.0,306602,2100,Photogrammetric,9.0,67.69,8/22/2017 7:13:29 PM,Constructed,2023400072,,2954.5390625,218.574480811869,LEASED
31315,3001540028,3000428,1959.0,10285,2100,Photogrammetric,46.0,204.18146866,8/22/2017 3:35:17 PM,Constructed,3001540028,,1954.71875,214.396613532472,LEASED
31394,3012800054,3033470,1974.0,271692,2100,Photogrammetric,125.0,24.95,8/22/2017 3:40:43 PM,Constructed,3012800054,,1125.76171875,136.785204818445,LEASED
33412,2023440096,2001027,1913.0,688620,2100,Photogrammetric,31.0,47.33,8/22/2017 6:33:02 PM,Constructed,2023440096,,9056.90625,456.322176806056,LEASED
35264,4077740001,4438342,1968.0,438857,2100,Photogrammetric,158.0,54.94,8/22/2017 5:33:15 PM,Constructed,4077740001,,2289.69921875,196.272408101756,LEASED
36856,3085910075,3397798,1930.0,1008319,2100,Photogrammetric,10.0,18.36869353,6/20/2014 12:00:00 AM,Constructed,3085910075,,265.1796875,66.2239892795667,LEASED
37050,4094950041,4438635,1931.0,578764,5110,Photogrammetric,47.0,15.78,8/17/2017 4:53:39 PM,Constructed,4094950041,,84.78515625,36.9517493084071,LEASED
37849,1000220017,1078979,1900.0,452034,2100,Photogrammetric,22.0,234.82,8/22/2017 5:33:14 PM,Constructed,1000220017,,1539.15625,199.467317625994,LEASED
40452,3052200007,3339045,1933.0,332652,5110,Photogrammetric,26.0,11.27,8/22/2017 3:24:19 PM,Constructed,3052200007,,188.67578125,56.3988802375193,LEASED
42319,4163300060,4540247,1900.0,448493,2100,Photogrammetric,8.0,11.62450159,9/19/2013 12:00:00 AM,Constructed,4163300060,,563.1015625,110.649817828501,LEASED
43631,2036730001,2094834,1965.0,321768,2100,Photogrammetric,16.0,16.77,8/22/2017 5:44:58 PM,Constructed,2036730001,,633.26953125,111.74464907596,LEASED
44666,1013170007,1037556,1928.0,292963,2100,Photogrammetric,45.0,297.29,8/22/2017 5:44:58 PM,Constructed,1013170007,,1598.8125,199.824649249309,LEASED
45066,3058730084,3145771,1925.0,607146,2100,Photogrammetric,87.0,48.74979686,8/22/2017 3:29:26 PM,Constructed,3058730084,,1778.32421875,325.043790142099,LEASED
45472,1013730001,1089274,1975.0,621601,2100,Other (Manual),12.0,15.0,8/22/2017 5:36:43 PM,Constructed,1013730001,,136.21875,48.58919026685,MIXED
45718,5000080099,5110428,1930.0,967907,2100,Other (Manual),96.0,70.0,8/22/2017 6:22:03 PM,Constructed,5000080099,,1224.91796875,160.257695254961,LEASED
45783,5071000028,5133353,2001.0,1017814,2100,Other (Manual),61.0,23.0,8/22/2017 5:50:24 PM,Constructed,5071000028,,10594.53515625,555.234737065615,LEASED
47918,1013730001,1089267,1975.0,533761,2100,Other (Manual),18.0,53.0,8/10/2017 3:24:28 PM,Constructed,1013730001,,1086.5,141.17521361271,MIXED
48126,1013730001,1083208,1975.0,567296,2100,Other (Manual),13.0,185.0,8/22/2017 7:38:47 PM,Constructed,1013730001,,2073.27734375,244.291780051853,MIXED
48191,1001530001,1079215,1910.0,1106253,2100,Other (Manual),34.0,105.0,8/22/2017 5:36:41 PM,Constructed,1001530001,,5495.015625,303.622343977218,MIXED
48514,4004700100,4595580,1939.0,1261073,2100,Other (Manual),16.0,59.0,8/22/2017 7:38:33 PM,Constructed,4004700100,,602.3359375,128.33770690766,MIXED
49274,3077750001,3215550,1962.0,384281,2100,Other (Manual),17.0,38.0,8/22/2017 3:53:42 PM,Constructed,3077750001,,1760.85546875,176.557492838001,LEASED
49503,5076640001,5155549,1996.0,645793,2100,Other (Manual),33.0,27.0,8/10/2017 3:09:35 PM,Constructed,5076640001,,1711.671875,193.088690366266,LEASED
49506,3004550001,3395603,1931.0,812654,2100,Other (Manual),19.0,41.0,8/22/2017 3:59:44 PM,Constructed,3004550001,,659.26171875,142.765787664618,LEASED
49922,3087600060,3397337,1967.0,1114485,2100,Other (Manual),10.0,16.0,8/22/2017 3:20:47 PM,Constructed,3087600060,,3046.5703125,259.276967561911,MIXED
50418,1013730001,1089263,1975.0,271453,2100,Other (Manual),18.0,35.0,8/22/2017 6:04:35 PM,Constructed,1013730001,,3017.4140625,260.44239890693,MIXED
50561,5076640001,5155545,1996.0,478526,2100,Other (Manual),44.0,36.0,8/10/2017 3:31:59 PM,Constructed,5076640001,,2081.3203125,210.649326437055,LEASED
50593,2031820004,2088408,1993.0,947999,2100,Other (Manual),114.0,73.0,8/22/2017 7:20:57 PM,Constructed,2031820004,,1307.13671875,159.328265222536,LEASED
50639,1013730001,1083202,1969.0,766158,2100,Other (Manual),19.0,105.0,12/7/2018 6:34:32 PM,Constructed,1013730001,,2615.859375,297.132809868291,MIXED
50696,1013730001,1089262,1975.0,305977,2100,Other (Manual),21.0,43.0,8/10/2017 3:25:08 PM,Constructed,1013730001,,248.3671875,63.0798773654241,MIXED
50774,3053220069,3328370,1927.0,1000428,2100,Other (Manual),50.0,60.0,8/22/2017 3:42:09 PM,Constructed,3053220069,,1050.08984375,130.595880905072,LEASED
50779,3087600060,3326935,1967.0,1114734,2100,Other (Manual),12.0,72.0,8/22/2017 3:21:13 PM,Constructed,3087600060,,11372.9296875,639.188396430691,MIXED
