OBJECTID,Base BBL,BIN,Construction Year,DOITT ID,Feature Code,Geometry Source,Ground Elevation,Height Roof,LAST_EDITED_DATE,LAST_STATUS_TYPE,Map Pluto BBL,Name,Area,Length,Lease_Category
17,3044810059,3324201,1930.0,685902,2100,Photogrammetric,12.0,31.5184499,8/22/2017 3:47:26 PM,Constructed,3044810059,,133.44921875,48.7205097022183,OWNED
52,2027810500,2117853,1973.0,813985,2100,Photogrammetric,11.0,10.54654743,7/16/2014 12:00:00 AM,Constructed,2027810500,,132.05078125,48.6613073017653,OWNED
66,3017190001,3325583,1958.0,393051,2100,Photogrammetric,12.0,65.16,8/22/2017 3:20:29 PM,Constructed,3017190001,,935.765625,219.581964607314,OWNED
319,2043360001,2115607,1984.0,179266,2100,Photogrammetric,66.0,19.94927443,9/30/2016 12:00:00 AM,Constructed,2043360001,,643.875,103.585662700357,OWNED
377,4110410030,4237688,1930.0,750794,2100,Photogrammetric,53.0,27.19017876,8/22/2017 7:38:05 PM,Constructed,4110410030,,124.12890625,50.2312493185241,OWNED
589,2045810001,2093494,1949.0,584244,2100,Photogrammetric,72.0,71.08,8/22/2017 7:38:05 PM,Constructed,2045810001,,1112.45703125,196.229976061422,OWNED
610,3005380001,3332220,1940.0,348496,2100,Other (Manual),10.0,56.0,8/22/2017 3:58:15 PM,Constructed,3005380001,,2026.41015625,438.540959267444,OWNED
623,4055800001,4583304,1936.0,587126,2100,Photogrammetric,72.0,19.19,10/7/2013 12:00:00 AM,Constructed,4055800001,,133.2421875,46.185762979217,OWNED
653,3071400016,3322195,1956.0,233296,2100,Photogrammetric,20.0,80.46,8/22/2017 3:47:26 PM,Constructed,3071400016,,1089.7890625,204.849721152207,OWNED
890,2056500001,2118101,1935.0,545843,5110,Photogrammetric,8.0,13.89,8/17/2017 5:06:05 PM,Constructed,2056500001,,57.51171875,31.5814936660922,OWNED
917,4020180001,4541455,2001.0,1075275,2100,Photogrammetric,23.0,14.75,12/12/2023 9:46:51 PM,Constructed,4020180001,FMCP-Carousel Loop Public Restroom,144.23828125,50.4178996154295,OWNED
